Sender,Subject,Date,Snippet,Message_body
Twitter <info@twitter.com>,Arun Jaitley Tweeted: What the IMF Had to Say About India in 2014 an...,2018-08-26,"Shashi Tharoor, Aashish Shetty, PMO India, Chris ONeill-Yates, Arjun Kapoor also Tweeted. Your Highlights avatar Arun Jaitley @arunjaitley What the IMF Had to Say About India in 2014 and Then in 2018","[<p>Hey ayush bansal,
  	      @arunjaitley
What the IMF Had to Say About India in 2014 and Then in 2018 https://t.co/GuFXB7t8MH
https://twitter.com/arunjaitley/status/1033626149048541184

  	      Muted Onam events in U.S. serve to raise funds for Kerala
https://twitter.com/i/redirect?url=https%3A%2F%2Ftwitter.com%2FShashiTharoor%2Fstatus%2F1033652916840685569%3Fcn%3DZmxleGlibGVfcmVjcw%253D%253D%26refsrc%3Demail&amp;t=1+1535292817603&amp;cn=ZmxleGlibGVfcmVjcw%3D%3D&amp;sig=f8ca13bf7c90f85ac1ac8f8b3779e065cfabedc8&amp;iid=9aa202eecfc74cfe883fed898b3f018d&amp;uid=746639119&amp;nid=244+276893703

  	      @AShetty84
Live webcast of Dr @Swamy39 and Shri @RatanSharda55 for the book launch event in Mumbai will be available on @vhsindia twitter handle and Facebook page https://t.co/Ln90pbW4Mv https://t.co/VtmKAcnHsM
https://twitter.com/AShetty84/status/1033550605896179713

  	      @PMOIndia
I once again urge the people of India to focus on fitness, says PM @narendramodi. #MannKiBaat https://t.co/vJbfzmVRlo
https://twitter.com/PMOIndia/status/1033593472303816705

  	      Refusing foreign aid from UAE for Kerala is churlish and narcissistic
https://twitter.com/i/redirect?url=https%3A%2F%2Ftwitter.com%2Foneillyatescbc%2Fstatus%2F1033404061817532416%3Fcn%3DZmxleGlibGVfcmVjcw%253D%253D%26refsrc%3Demail&amp;t=1+1535292817609&amp;cn=ZmxleGlibGVfcmVjcw%3D%3D&amp;sig=8b57a92f3bd97025fd0696fdd5a358d5cd2e8d6e&amp;iid=9aa202eecfc74cfe883fed898b3f018d&amp;uid=746639119&amp;nid=244+289476615

  	      @arjunk26
None of us have an answer why @AnilKapoor has worn sunglasses in a family picture. Maybe he thought we are his fans. https://t.co/VeXuMHFMW3
https://twitter.com/arjunk26/status/1033667307417944064






  Opt-out: https://twitter.com/i/u?t=1&amp;cn=ZmxleGlibGVfcmVjcw%3D%3D&amp;sig=871032b99c176b2a9a8b38f333bba31fd0cb154d&amp;iid=9aa202eecfc74cfe883fed898b3f018d&amp;uid=746639119&amp;nid=244+26&amp;usbid=6</p>]"
Twitter <info@twitter.com>,"Shashi Tharoor shared ""To plug the data spill""",2018-08-26,"What&#39;s happening Shashi Tharoor shared To plug the data spill The Indian Express Data flows away from ordinary citizens, to those who collect and may misuse it. My Data Privacy and Protection Bill,","[<p>@ayushba47988243, see what's happening in the world



  Opt-out: https://twitter.com/i/u?t=1&amp;cn=ZmxleGlibGVfcmVjcw%3D%3D&amp;sig=e20ea8668d2f1a604d1a3367c9612237a736f7ce&amp;iid=5e1130538a4a48c3a51234c7238a5ecd&amp;uid=746639119&amp;nid=244+26&amp;usbid=9</p>]"
TechGig Latest News <technews@techgig.com>,H-1B: top US CEOs warn about negative effect of Trump's policy changes | Good Coders Copy but Great Coders Steal,2018-08-26,"App Avaliable on Daily Newsletter Sunday, 26th Aug 2018 H-1B: top US CEOs warn about negative effect of Trump&#39;s policy changes TechGig Editor Good Coders Copy but Great Coders Steal TechGig",
Interview Call Letter <jobs@techgig.com>,Deloitte MEGA Hiring For Freshers As Software Developers - Apply And Get Hired Now,2018-08-26,"26 Aug, 2018 Hi Ayush Agarwal Top companies like Cognizant, TCS, IBM, Infosys, HCL &amp; other IT Companies are hiring 10000 Candidates in Coming Next Month. Check out the jobs below &amp; apply ASAP.",
Quora Digest <digest-noreply@quora.com>,What GATE rank is required to get into PSUs like ONGC and IOCL?,2018-08-26,"Answer: Lets Start with ONGC: In first list of ONGC this year, cut off marks.​.​.​ Quora Ayush&#39;s Digest Top Stories For You What GATE rank is required to get into PSUs like ONGC and IOCL? Vibhav","[<p>Ayush's Digest
Your Quora Digest

-----


Question: What GATE rank is required to get into PSUs like ONGC and IOCL?

Answer from Vibhav Pandey

Lets Start with ONGC:

In first list of ONGC this year, cut off marks was around 81.3/100 for GEN category.

This is evaluated with the help of

1. 60% of GATE score weightage
Read More: http://www.quora.com/What-GATE-rank-is-required-to-get-into-PSUs-like-ONGC-and-IOCL#ans96515537
-----
Question: Why do people love Groot from “Guardians of the Galaxy” so much?

Answer from Melissa Jeswald

Why do people love Groot from “Guardians of the Galaxy” so much?

Well, for one thing, he is a unique species. Every other character (besides Rocket) is some flavor of human w
Read More: http://www.quora.com/Why-do-people-love-Groot-from-Guardians-of-the-Galaxy-so-much#ans95569502
-----
Question: If Loki was posing as Bruce Banner during Avengers: Infinity War, then where was the real Banner?

Answer from Jeremy Glenesk

He wasn’t. Look, this silly theory is very easy to disprove.

When Bruce, in the Hulkbuster armor, is fighting Cull Obsidian during the Battle of Wakanda, he has an argument w
Read More: http://www.quora.com/If-Loki-was-posing-as-Bruce-Banner-during-Avengers-Infinity-War-then-where-was-the-real-Banner#ans95832575
-----
Question: Why is Windows 7 still so popular despite having later releases, 8 and 10?

Answer from Garry Taylor

Windows 7 came out after Vista. Pretty much everybody hated Vista.

So Windows 7 came out, and people liked it.

Windows 8 came out, and at first, it was pretty grim. People s
Read More: http://www.quora.com/Why-is-Windows-7-still-so-popular-despite-having-later-releases-8-and-10#ans95713872
-----
Question: I'm 24, am I too late to be successful?

Answer from Rosh Louis

I am 27. I fucked up my teenage life. I did not do well. I was hot headed. At 21, working at a food factory on minimum wage, I thought, there must be more to life than this. S
Read More: http://www.quora.com/Im-24-am-I-too-late-to-be-successful#ans96151492
-----
Question: Why can’t the Indian cinema make a movie like Avengers: Infinity War?

Answer from Carlos Rodrigues

This is very simple.

A movie like Avengers: Infinity War needs to have a huge budget. The highest grossing Indian movie is Dangal, with a box office of $310 million. Dangal's
Read More: http://www.quora.com/Why-can-t-the-Indian-cinema-make-a-movie-like-Avengers-Infinity-War#ans95957831
-----
Question: What is normal in Chennai, but weird in other places?

Answer from Priyanka Gupta

People Dancing in funeral procession.

When I was new to Chennai, I once encountered a funeral procession with dancing people. I initially misunderstood it with some sort of t
Read More: http://www.quora.com/What-is-normal-in-Chennai-but-weird-in-other-places#ans95595112
-----
Question: What exactly is ""print it modulo 10^9+7"" in competitive programming websites?

Answer from Alon Amit

Let’s say someone brags to you that they can memorize and mentally manipulate any book you give them within five minutes.

To test their abilities, you give them a copy of Mid
Read More: http://www.quora.com/What-exactly-is-print-it-modulo-10-9-7-in-competitive-programming-websites#ans95819094
-----
Question: Why didn’t Thanos just turn Thor’s hammer into a glass, watermelon, or something? Why didn’t Thanos freeze time? Could’ve he have just snapped his fingers and left?

Answer from Romit Machado

The answer is in the movie itself.

The weapon was made by the dwarf on Thor's request, as a Thanos Killing weapon, while he wore the infinity gauntlet.

Eitri and the dwarves
Read More: http://www.quora.com/Why-didn-t-Thanos-just-turn-Thor-s-hammer-into-a-glass-watermelon-or-something-Why-didn-t-Thanos-freeze-time-Could-ve-he-have-just-snapped-his-fingers-and-left#ans94987107
-----
Question: Can someone objectively explain the Spanish-Catalan conflict for those who don’t live there?

Answer from Jason Ricardo

Yes.

1. The Romans came and then left. Then came the Visigoths. Then came the Moors.
2. The Franks took Barcelona back from the Moors in 801 and created the County of Barcelo
Read More: http://www.quora.com/Can-someone-objectively-explain-the-Spanish-Catalan-conflict-for-those-who-don-t-live-there#ans95305459
-----

-----
To control which emails we send you, visit: https://www.quora.com/qemail/track_click?aoid&amp;aoty=14&amp;aty=4&amp;click_pos=0&amp;ct=1535261741340113&amp;et=2&amp;id=b21686bd3c4948e8a698429479156f4c&amp;request_id=1708360210888381927&amp;source&amp;src=1&amp;st=1535261741340113&amp;stories=1_YALUysI22FB%7C1_azCO5rAsdB8%7C1_VhlL6UL4cdh%7C1_4hDMal99cg2%7C1_8PaXP6wq2y1%7C1_49AkrlViVRd%7C1_ana05NP015Q%7C1_9Dq4btlXbNi%7C1_awjhL59xyxB%7C1_m7ucS5ks64x&amp;ty&amp;ty_data&amp;uid=4QWbz9cTLUA&amp;v=0

To unsubscribe from these emails, visit: http://www.quora.com/email_optout/qemail_optout?code=0257268fe8f38dc7a13968fdba3e5931&amp;email=ayushbansal323%40gmail.com&amp;email_track_id=b21686bd3c4948e8a698429479156f4c&amp;type=2</p>]"
TechGig Latest News <technews@techgig.com>,H-1B: top US CEOs warn about negative effect of Trump's policy changes | Here's how you can build a successful AI career,2018-08-26,"Daily Newsletter Sunday, 26th Aug 2018 H-1B: top US CEOs warn about negative effect of Trump&#39;s policy changes TechGig Editor Here&#39;s how you can build a successful AI career TechGig Editor",
Twitter <info@twitter.com>,"ayush bansal, see 16 new updates from Vijay Kedia and Shashi Tharoor",2018-08-26,Shashi Tharoor also Tweeted. Updates you should see avatar Updates for Vijay Kedia 2 Tweets 1 like See all updates avatar Updates for Shashi Tharoor 9 Tweets 3 Retweets 1 like See all updates Help |,"[<p>Updates you should see

  Opt-out: https://twitter.com/i/u?t=1&amp;cn=ZmxleGlibGVfcmVjcw%3D%3D&amp;sig=423051f2b031e2ad9aac9bee12e71ec7c629867a&amp;iid=19a8efb0ab26495990dead27c100e814&amp;uid=746639119&amp;nid=244+26&amp;usbid=9</p>]"
Placement Quiz <assessment@techgig.com>,[HOT] Test Your Knowledge With Placement Quiz 2018-19,2018-08-26,"Wipro Placement Test TechGig Practice Platform Dear Ayush Agarwal, When preparing for a job interview, it&#39;s not enough to just read advice you need to put that advice into practice! You&#39;ll also",
Facebook <notification+zrdoddzf6lr1@facebookmail.com>,"🎂 Pratiksha Sawant, Nikhil Bankar and 2 others have birthdays today",2018-08-25,"Help Pratiksha Sawant, Nikhil Bankar and 2 others celebrate their birthdays Sunday, August 26th Pratiksha Sawant Write on her timeline Nikhil Bankar Write on his timeline Piyush Ingle Write on his","[<p>========================================
Go to Facebook
https://www.facebook.com/n/?index.php&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=goto_fb


Plan an Event
https://www.facebook.com/n/?events%2F&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=plan_event

========================================

Hi Ayush,

Help Pratiksha Sawant, Nikhil Bankar and 2 others celebrate their birthdays

[https://www.facebook.com/n/?profile.php&amp;id=100008448580660&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Pratiksha Sawant[https://www.facebook.com/n/?profile.php&amp;id=100008448580660&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Write on her timeline
https://www.facebook.com/n/?profile.php&amp;id=100008448580660&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row


[https://www.facebook.com/n/?profile.php&amp;id=100004551855350&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Nikhil Bankar[https://www.facebook.com/n/?profile.php&amp;id=100004551855350&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Write on his timeline
https://www.facebook.com/n/?profile.php&amp;id=100004551855350&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row


[https://www.facebook.com/n/?profile.php&amp;id=100008389959084&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Piyush Ingle[https://www.facebook.com/n/?profile.php&amp;id=100008389959084&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Write on his timeline
https://www.facebook.com/n/?profile.php&amp;id=100008389959084&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row


[https://www.facebook.com/n/?omkar.kanade.31&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Omkär Mànöhár Kànáde[https://www.facebook.com/n/?omkar.kanade.31&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Write on his timeline
https://www.facebook.com/n/?omkar.kanade.31&amp;composeropen=1&amp;aref=1535247608356851&amp;medium=email&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a&amp;bcode=2.1535247608.AbzRYqro-eKnHs5ssSE&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row


Thanks,
The Facebook Team



========================================
This message was sent to ayushbansal323@gmail.com. If you don't want to receive these emails from Facebook in the future, please follow the link below to unsubscribe.
https://www.facebook.com/o.php?k=AS1Wpekn0IsKku-V&amp;u=100003557840645&amp;mid=5744c66c09d21G5af3e48a9705G5744cb0569ff3G1a
Facebook, Inc., Attention: Community Support, 1 Facebook Way, Menlo Park, CA 94025

</p>]"
Interview Call Letter <jobs@techgig.com>,Deloitte MEGA Hiring For Freshers As Software Developers - Apply And Get Hired Now,2018-08-26,"26 Aug, 2018 Hi Ayush Agarwal Top companies like Cognizant, TCS, IBM, Infosys, HCL &amp; other IT Companies are hiring 10000 Candidates in Coming Next Month. Check out the jobs below &amp; apply ASAP.",
"""This week on TED.com"" <no_reply@ted.com>",Don't fail fast -- fail mindfully,2018-08-25,"Three unexpected ways to increase your luck. View it in your browser TED This week on TED.com August 25, 2018 Talk of the week Leticia Gasca: Don&#39;t fail fast -- fail mindfully 12:34 minutes ·","[<p>Three unexpected ways to increase your luck. View it in your browser (https://mailchi.mp/ted/the-little-risks-you-can-take-to-increase-your-luck-1259233?e=37d793a1a0)

http://www.ted.com/
This week on TED.com
August 25, 2018
Talk of the week (https://www.ted.com/talks/leticia_gasca_don_t_fail_fast_fail_mindfully?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=talk_of_the_week_swipe)
Leticia Gasca: Don't fail fast -- fail mindfully (https://www.ted.com/talks/leticia_gasca_don_t_fail_fast_fail_mindfully?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=talk_of_the_week_image) https://www.ted.com/talks/leticia_gasca_don_t_fail_fast_fail_mindfully?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=talk_of_the_week_image

12:34 minutes · Filmed Jun 2018 · Posted Aug 2018 · TED Salon Brightline Initiative

We celebrate bold entrepreneurs whose ingenuity led them to success, but what happens to those who fail? Far too often, they bury their stories out of shame or humiliation -- and miss out on a valuable opportunity for growth, says author and entrepreneur Leticia Gasca. In this thoughtful talk, Gasca calls for business owners to open up about their failures and makes the case for replacing the idea of ""failing fast"" with a new mantra: fail mindfully.
Watch now » (https://www.ted.com/talks/leticia_gasca_don_t_fail_fast_fail_mindfully?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=talk_of_the_week_button)
Playlist of the week (https://www.ted.com/admin.php/playlists/258/talks_for_binge_watching?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=playlist_swipe)
https://www.ted.com/admin.php/playlists/258/talks_for_binge_watching?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=playlist_image
Talks for binge-watching (10 talks) (https://www.ted.com/admin.php/playlists/258/talks_for_binge_watching?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=playlist_title)

Sit down, press play and prepare to be riveted by these beautiful, mysterious, moving talks. Watch » (https://www.ted.com/admin.php/playlists/258/talks_for_binge_watching?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=playlist_button)

Total run time 2:20:19


** This week's new TED Talks (https://www.ted.com/talks)
------------------------------------------------------------
https://www.ted.com/talks/janet_stovall_how_to_get_serious_about_diversity_and_inclusion_in_the_workplace?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=top_left_image

Imagine a workplace where people of all colors and races are able to climb every rung of the corporate ladder -- and where the lessons we learn about diversity at work actually transform the things we do, think and say outside the office. How do we get there? In this candid talk, inclusion advocate Janet Stovall shares a three-part action plan for creating workplaces where people feel safe and expected to be their unassimilated, authentic selves. Watch » (https://www.ted.com/talks/janet_stovall_how_to_get_serious_about_diversity_and_inclusion_in_the_workplace?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=top_left_button)
https://www.ted.com/talks/mary_lou_jepsen_how_we_can_use_light_to_see_deep_inside_our_bodies_and_brains?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=top_right_image

In a series of mind-bending demos, inventor Mary Lou Jepsen shows how we can use red light to see and potentially stimulate what's inside our bodies and brains. Taking us to the edge of optical physics, Jepsen unveils new technologies that utilize light and sound to track tumors, measure neural activity and could possibly replace the MRI machine with a cheaper, more efficient and wearable system. Watch » (https://www.ted.com/talks/mary_lou_jepsen_how_we_can_use_light_to_see_deep_inside_our_bodies_and_brains?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=top_right_button)
https://www.ted.com/talks/stephen_deberry_why_the_wrong_side_of_the_tracks_is_usually_the_east_side_of_cities?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=bottom_left_image

What do communities on the social, economic and environmental margins have in common? For one thing, they tend to be on the east sides of cities. In this short talk about a surprising insight, anthropologist and venture capitalist Stephen DeBerry explains how both environmental and man-made factors have led to disparity by design in cities from East Palo Alto, California to East Jerusalem and beyond -- and suggests some elegant solutions to fix it. Watch » (https://www.ted.com/talks/stephen_deberry_why_the_wrong_side_of_the_tracks_is_usually_the_east_side_of_cities?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=bottom_left_button)
https://www.ted.com/talks/chetna_gala_sinha_how_women_in_rural_india_turned_courage_into_capital?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=bottom_right_image

When bankers refused to serve her neighbors in rural India, Chetna Gala Sinha did the next best thing: she opened a bank of her own, the first ever for and by women in the country. In this inspiring talk, she shares stories of the women who encouraged her and continue to push her to come up with solutions for those denied traditional financial backing. Watch » (https://www.ted.com/talks/chetna_gala_sinha_how_women_in_rural_india_turned_courage_into_capital?utm_source=newsletter_weekly_2018-08-25&amp;utm_campaign=newsletter_weekly&amp;utm_medium=email&amp;utm_content=bottom_right_button)


** Read more on ideas.ted.com (https://ideas.ted.com)
------------------------------------------------------------

Gallery: (https://ideas.ted.com/gallery-meet-6-bewitching-rarely-seen-creatures-from-the-oceans-twilight-zone/) Meet 6 fantastical creatures from the ocean's twilight zone (https://ideas.ted.com/gallery-meet-6-bewitching-rarely-seen-creatures-from-the-oceans-twilight-zone/)
We're constantly discovering new wonders in this mysterious realm

Education: (https://ideas.ted.com/how-can-schools-best-prepare-students-for-the-future-give-them-real-work-to-do/) How can schools best prepare students for the future? Give kidsreal work to do (https://ideas.ted.com/how-can-schools-best-prepare-students-for-the-future-give-them-real-work-to-do/)
Inside one experimental program that pairs students with locals to solve problems together

We humans: (https://ideas.ted.com/5-steps-to-starting-the-life-and-death-talk-we-all-need-to-have/) How to start a conversation about a dignified death (https://ideas.ted.com/5-steps-to-starting-the-life-and-death-talk-we-all-need-to-have/)
We all want to make sure that the people we love are treated with respect. The first step: Start talking about it

https://ideas.ted.com/5-steps-to-starting-the-life-and-death-talk-we-all-need-to-have/


** Quote of the Week (https://www.ted.com/talks/kai_fu_lee_how_ai_can_save_our_humanityhttps://www.ted.com/talks/leticia_gasca_don_t_fail_fast_fail_mindfully)
------------------------------------------------------------

“ (https://www.ted.com/talks/kai_fu_lee_how_ai_can_save_our_humanityhttps://www.ted.com/talks/leticia_gasca_don_t_fail_fast_fail_mindfully)

We all have hidden failures. Sharing your failures makes you stronger, not weaker.""
Leticia Gasca Don't fail fast — fail mindfully (https://www.ted.com/talks/kai_fu_lee_how_ai_can_save_our_humanityhttps://www.ted.com/talks/leticia_gasca_don_t_fail_fast_fail_mindfully)


** TED Radio hour: Behind The Numbers (https://itunes.apple.com/us/podcast/ted-radio-hour/id523121474?mt=2)
------------------------------------------------------------
Is life today better than ever before? Does the data bear that out? This hour, TED speakers explore the stories we tell with numbers — and whether those stories portray the full picture. Listen on NPR (https://www.npr.org/programs/ted-radio-hour/) , Apple Podcasts (https://itunes.apple.com/us/podcast/ted-radio-hour/id523121474?mt=2) or the TED Android app (https://play.google.com/store/apps/details?id=com.ted.android) .


https://itunes.apple.com/us/podcast/ted-radio-hour/id523121474?mt=2

Facebook Join us on Facebook (http://www.facebook.com/TED)
Twitter Follow us @TEDTalks (http://twitter.com/TEDTalks)



You are receiving this email because you've subscribed to our mailing list.
We also send out daily emails (https://ted.us1.list-manage.com/profile?u=07487d1456302a286cf9c4ccc&amp;id=934d447288&amp;e=37d793a1a0) , if you can't get enough of us. We love you too.

Copyright © 2018 TED, All rights reserved.
 You're receiving the TED Talks weekly newsletter because you subscribed to it on TED.com. (Was this forwarded by a friend? You can sign up here: http://www.ted.com/newsletter )

Our mailing address is:
TED
330 Hudson Street
11th Floor
New York, NY 10013
USA
unsubscribe from this list (https://ted.us1.list-manage.com/unsubscribe?u=07487d1456302a286cf9c4ccc&amp;id=934d447288&amp;e=37d793a1a0&amp;c=4a6b0f9aab)    update subscription preferences (https://ted.us1.list-manage.com/profile?u=07487d1456302a286cf9c4ccc&amp;id=934d447288&amp;e=37d793a1a0)    view email in browser (https://mailchi.mp/ted/the-little-risks-you-can-take-to-increase-your-luck-1259233?e=37d793a1a0)</p>]"
Twitter <info@twitter.com>,"ayush bansal, see 16 new updates from Vijay Kedia, Twitter, and more",2018-08-25,"Twitter, Shashi Tharoor also Tweeted. Updates you should see avatar Updates for Vijay Kedia 1 Tweet 1 like See all updates avatar Updates for Twitter 1 Tweet 1 profile change See all updates avatar","[<p>Updates you should see

  Opt-out: https://twitter.com/i/u?t=1&amp;cn=ZmxleGlibGVfcmVjcw%3D%3D&amp;sig=bf7b27202f9f49d1f0cdea53c2fc08aea490c8e6&amp;iid=aa7ed72644094863a977b395774b28d7&amp;uid=746639119&amp;nid=244+26&amp;usbid=9</p>]"
Airtel DTH <contact@enlimbo.com>,Book Airtel DTH Connection @ INR 1690,2018-08-25,To stop receiving these emails please click here to unsubscribe.,
Anik Singal <anik@inboxblueprint.com>,Business Lesson From a Drunk Man at a Bar,2018-08-25,"Hey, What ever else you do today, make sure you watch this video I&#39;ll give you 2 good reasons to watch it... 1) It contains the greatest business lesson I ever received (and I got it from a drunken","[<p>Hey,

What ever else you do today, make sure you watch this video
[https://track.slsv2.com/track/click/v6WnGcZgRz/53011609a54773e3eccaa0e802bae7cf/d331d8ce76c2af8605d2f210d2e3ea54/inbox16

I'll give you 2 good reasons to watch it...

 1) It contains the greatest business lesson I ever received _(and I
got it from a drunken man in a bar no less)_

 2) I hired out a whole bar, and got my staff from the office to act
in it... it's hilarious!

  

Watch the Drunken Man in A Bar Lesson Now
[https://track.slsv2.com/track/click/v6WnGcZgRz/53011609a54773e3eccaa0e802bae7cf/d331d8ce76c2af8605d2f210d2e3ea54/inbox16

  

It's worth watching just for the giggle if nothing else...

But beyond the humor, there's a super valuable lesson in there that
changed my business forever, and that I think you will get a lot out
of.

Watch it here [https://track.slsv2.com/track/click/v6WnGcZgRz/53011609a54773e3eccaa0e802bae7cf/d331d8ce76c2af8605d2f210d2e3ea54/inbox16

Enjoy,

Anik Singal

CEO/Founder - Lurn, Inc.

Best-Selling Author - Circle of Profit

New Book - Just Released - eSCAPE
[https://track.slsv2.com/track/click/v6WnGcZgRz/53011609a54773e3eccaa0e802bae7cf/f87c38013ff5ebd7d81757b230495ed1/inbox16

_P.S. - Remember, when life pushes you, stand straight, smile &amp; push
it the heck back!_

 

Login [https://track.slsv2.com/track/click/v6WnGcZgRz/53011609a54773e3eccaa0e802bae7cf/415c35d058c84d8b71c1d66451241e8f/inbox16 Us
[https://track.slsv2.com/track/click/v6WnGcZgRz/53011609a54773e3eccaa0e802bae7cf/286d34b2c5714c5a95fa5ab927022d68/inbox16 Courses
[https://track.slsv2.com/track/click/v6WnGcZgRz/53011609a54773e3eccaa0e802bae7cf/c3f78e772f2747ce86a26a490a0af72e/inbox16 Us
[https://track.slsv2.com/track/click/v6WnGcZgRz/53011609a54773e3eccaa0e802bae7cf/4874e04c76606f7745045cc833604a3d/inbox16

Copyright (c) 2018 - Lurn, Inc.



Lurn Inc., 12410 Milestone Center Drive
Suite 600, Germantown, MD, United States 20876

To update or remove your contact information: 
[https://track.slsv2.com/uml/v6WnGcZgRz/53011609a54773e3eccaa0e802bae7cf/94656ec67d934460e7c181def86803aa/inbox16]


Powered by Sendlane.com [https://track.slsv2.com/tc/poweredby/968730647]
</p>]"
